iter	Passed	Remaining
541	107622	275808
542	107858	275705
543	108010	275386
544	108230	275242
545	108378	274916
546	108566	274690
547	108779	274529
548	108996	274377
549	109181	274145
550	109378	273943
551	109535	273639
552	109744	273468
553	109959	273309
554	110145	273081
555	110302	272779
556	110520	272631
557	110740	272484
558	110938	272285
559	111055	271886
560	111274	271740
561	111490	271583
562	111707	271432
563	111933	271300
564	112123	271081
565	112322	270884
566	112531	270709
567	112674	270379
568	112875	270186
569	113092	270033
570	113319	269902
571	113511	269687
572	113700	269469
573	113922	269325
574	114120	269126
575	114351	269003
576	114562	268835
577	114786	268695
578	114997	268525
579	115209	268358
580	115412	268171
581	115569	267873
582	115756	267648
583	115948	267435
584	116153	267252
585	116356	267063
586	116581	266925
587	116771	266708
588	116899	266347
589	117098	266149
590	117298	265954
591	117507	265780
592	117738	265655
593	117952	265492
594	118167	265330
595	118379	265162
596	118560	264923
597	118753	264713
598	118958	264527
599	119150	264315
600	119386	264200
601	119617	264071
602	119831	263908
603	120010	263666
604	120242	263539
605	120399	263250
606	120590	263034
607	120782	262820
608	120994	262650
609	121232	262538
610	121431	262340
611	121637	262157
612	121877	262046
613	122021	261730
614	122224	261541
615	122441	261379
616	122665	261235
617	122776	260850
618	122964	260628
619	123157	260419
620	123390	260291
621	123621	260161
622	123828	259979
623	124032	259791
624	124257	259649
625	124492	259525
626	124677	259297
627	124888	259124
628	125124	259000
629	125345	258848
630	125573	258709
631	125713	258389
632	125922	258211
633	126129	258027
634	126313	257798
635	126468	257509
636	126691	257360
637	126906	257194
638	127061	256906
639	127285	256759
640	127528	256649
641	127771	256538
642	128029	256457
643	128256	256313
644	128475	256154
645	128663	255933
646	128831	255672
647	129030	255471
648	129157	255131
649	129350	254919
650	129556	254733
651	129754	254533
652	129962	254351
653	130212	254252
654	130428	254086
655	130634	253900
656	130803	253642
657	131010	253459
658	131248	253334
659	131489	253216
660	131728	253093
661	131954	252945
662	132181	252798
663	132417	252669
664	132665	252562
665	132805	252251
666	133037	252113
667	133272	251980
668	133488	251811
669	133714	251662
670	133892	251422
671	134090	251220
672	134303	251045
673	134519	250875
674	134705	250652
675	134928	250495
676	135084	250214
677	135292	250032
678	135484	249818
679	135709	249665
680	135942	249526
681	136138	249321
682	136343	249130
683	136551	248947
684	136706	248666
685	136923	248498
686	137132	248315
687	137329	248110
688	137538	247929
689	137708	247676
690	137899	247460
691	138097	247258
692	138229	246938
693	138419	246721
694	138652	246581
695	138850	246379
696	139065	246207
697	139241	245967
698	139459	245799
699	139625	245540
700	139877	245433
701	140094	245265
702	140293	245064
703	140494	244867
704	140706	244689
705	140885	244453
706	141054	244201
707	141291	244067
708	141460	243815
709	141638	243578
710	141859	243416
711	142057	243213
712	142276	243047
713	142485	242863
714	142707	242703
715	142869	242439
716	143060	242224
717	143264	242033
718	143499	241893
719	143708	241710
720	143858	241426
721	144071	241249
722	144239	240997
723	144422	240769
724	144645	240610
725	144861	240437
726	145073	240259
727	145262	240042
728	145434	239797
729	145650	239625
730	145862	239445
731	146006	239156
732	146222	238982
733	146412	238767
734	146605	238557
735	146833	238404
736	147028	238198
737	147212	237973
738	147382	237727
739	147584	237531
740	147764	237299
741	147983	237132
742	148190	236945
743	148396	236756
744	148527	236448
745	148742	236272
746	148947	236082
747	149136	235866
748	149337	235670
749	149536	235470
750	149769	235323
751	150001	235175
752	150144	234887
753	150314	234642
754	150527	234464
755	150742	234289
756	150937	234082
757	151103	233831
758	151329	233673
759	151547	233502
760	151754	233315
761	151985	233163
762	152224	233025
763	152392	232776
764	152544	232505
765	152690	232225
766	152897	232036
767	153135	231895
768	153358	231733
769	153575	231559
770	153783	231373
771	153960	231139
772	154147	230921
773	154332	230701
774	154544	230520
775	154761	230347
776	154967	230158
777	155195	230001
778	155372	229768
779	155566	229560
780	155779	229381
781	156029	229255
782	156252	229089
783	156408	228827
784	156625	228653
785	156820	228447
786	157025	228256
787	157259	228106
788	157437	227874
789	157658	227707
790	157878	227536
791	158048	227294
792	158254	227104
793	158437	226881
794	158658	226712
795	158873	226534
796	159089	226358
797	159292	226162
798	159509	225989
799	159720	225805
800	159940	225633
801	160138	225432
802	160377	225287
803	160490	224966
804	160661	224726
805	160841	224499
806	160997	224239
807	161211	224060
808	161418	223870
809	161640	223701
810	161813	223466
811	162029	223288
812	162255	223126
813	162437	222901
814	162653	222725
815	162828	222492
816	163034	222301
817	163221	222085
818	163406	221865
819	163633	221702
820	163857	221537
821	164080	221368
822	164288	221180
823	164428	220900
824	164658	220741
825	164888	220583
826	165117	220422
827	165320	220227
828	165485	219981
829	165745	219862
830	165993	219726
831	166199	219534
832	166441	219391
833	166635	219183
834	166818	218961
835	167018	218762
836	167186	218520
837	167386	218321
838	167547	218071
839	167755	217881
840	167956	217684
841	168174	217508
842	168391	217330
843	168600	217143
844	168807	216952
845	168972	216708
846	169197	216540
847	169397	216341
848	169590	216133
849	169826	215978
850	170046	215805
851	170255	215616
852	170452	215413
853	170626	215180
854	170771	214912
855	170944	214678
856	171164	214504
857	171401	214351
858	171604	214156
859	171816	213971
860	172040	213801
861	172246	213609
862	172449	213414
863	172648	213212
864	172821	212979
865	173033	212795
866	173259	212627
867	173502	212480
868	173717	212299
869	173907	212086
870	174120	211903
871	174330	211715
