iter	RMSE
121	0.165875535
122	0.1652321033
123	0.1646252823
124	0.1639900532
125	0.1634025945
126	0.1628146109
127	0.1622483206
128	0.1617198981
129	0.1611716623
130	0.1606360152
131	0.1601006347
132	0.1595524901
133	0.1590737038
134	0.1585951094
135	0.158078829
136	0.157584017
137	0.1570958882
138	0.1566237105
139	0.1561822578
140	0.1556928717
141	0.1552909839
142	0.1548576684
143	0.15444068
144	0.1539764611
145	0.1535887641
146	0.1531749548
147	0.1527898335
148	0.1523930494
149	0.1520237766
150	0.1516754312
151	0.15127824
152	0.1509227927
153	0.1505810104
154	0.1502180886
155	0.1498922683
156	0.149550755
157	0.1492264174
158	0.1489329257
159	0.1486008409
160	0.1482850281
161	0.1479923213
162	0.1477098308
163	0.147400563
164	0.1471259059
165	0.1468285951
166	0.1465617245
167	0.1462703677
168	0.1460169471
169	0.1457580102
170	0.1455166283
171	0.1452459024
172	0.1450088601
173	0.1447529279
174	0.1445136987
175	0.1442425864
176	0.1439517411
177	0.1437244933
178	0.1434981829
179	0.143234701
180	0.1430029228
181	0.1427980377
182	0.142572477
183	0.1423347809
184	0.1421095863
185	0.1419040547
186	0.1416655551
187	0.1413487079
188	0.1411162434
189	0.1408625269
190	0.1406762324
191	0.1404403459
192	0.1402370517
193	0.1400376238
194	0.1398646888
195	0.1396857213
196	0.1394719893
197	0.1392854906
198	0.1391179104
199	0.1389122712
200	0.1387498929
201	0.1385533305
202	0.1383807896
203	0.1381987981
204	0.1379855899
205	0.137847633
206	0.1376725026
207	0.1375068841
208	0.1373598237
209	0.1371814561
210	0.1370225992
211	0.1368053394
212	0.1366632978
213	0.136458495
214	0.1363162312
215	0.1361273383
216	0.1359603215
217	0.1358191596
218	0.1356216803
219	0.135507734
220	0.1353263645
221	0.1351724367
222	0.1349659823
223	0.1348149982
224	0.1346961444
225	0.1345045179
226	0.134378115
227	0.1342229584
228	0.1340475282
229	0.1338494901
230	0.133735541
231	0.133628238
232	0.1334752833
233	0.1333668375
234	0.1332112596
235	0.1330609174
236	0.1329521292
237	0.1327844493
238	0.1326813188
239	0.1325586156
240	0.13244241
241	0.1322728111
242	0.132176211
243	0.1319876542
244	0.1318402964
245	0.1316782644
246	0.131552057
247	0.1314598022
248	0.1312318607
249	0.13110086
250	0.1310118532
251	0.1308828744
252	0.1307421657
253	0.1306465757
254	0.1304646008
255	0.130333684
256	0.1302461283
257	0.1301337252
258	0.1300156897
259	0.1298508103
260	0.1297511552
261	0.1296402847
262	0.1295486773
263	0.1294460007
264	0.129364434
265	0.1292850352
266	0.1291853475
267	0.1290297035
268	0.1289298414
269	0.1288561236
270	0.1287315104
271	0.1285905775
272	0.1284810494
273	0.1284093453
274	0.1282550337
275	0.1281605768
276	0.1280236599
277	0.1279306308
278	0.1278149855
279	0.1276900898
280	0.1275732646
281	0.1274726149
282	0.1274043775
283	0.127322923
284	0.1271801262
285	0.1270901134
286	0.1269795292
287	0.1269018662
288	0.1267651331
289	0.1266765569
290	0.1266035405
291	0.1265257358
292	0.1263992613
293	0.1262867155
294	0.1262046618
295	0.1261298494
296	0.1260058945
297	0.1259048159
298	0.1258037738
299	0.1256745539
300	0.1255894192
301	0.1254730712
302	0.125374594
303	0.125285541
304	0.1252014817
305	0.1250943792
306	0.1249720063
307	0.1249032856
308	0.124797775
309	0.1247075163
310	0.1246444665
311	0.1245368708
312	0.1244514674
313	0.1243659673
314	0.1242794829
315	0.1241895635
316	0.1241045373
317	0.1240296818
318	0.1239408965
319	0.123859543
320	0.1237479546
321	0.1236764399
322	0.1236125813
323	0.1235084832
324	0.123431129
325	0.1233636018
326	0.1232821511
327	0.1231973793
328	0.1231403637
329	0.1230517509
330	0.1229940461
331	0.1229139421
332	0.1228044584
333	0.1227397163
334	0.1226389379
335	0.1225441769
336	0.1224370595
337	0.1223539939
338	0.1222654027
339	0.1221908517
340	0.1221004235
341	0.1220100157
342	0.1219370101
343	0.1218422725
344	0.1217871878
345	0.1217111408
346	0.1216374734
347	0.121567331
348	0.1215110922
349	0.1214337739
350	0.1213778592
351	0.121309189
352	0.1212334241
353	0.1211656409
354	0.1211021178
355	0.1210433513
356	0.1209531238
357	0.1208638148
358	0.1207759713
359	0.1206906573
360	0.1206342212
361	0.1205621084
362	0.1205036541
363	0.1204284605
364	0.1203490182
365	0.1202953392
366	0.120239038
367	0.1201572306
368	0.1200601603
369	0.1200017283
370	0.1198938326
371	0.1198251383
372	0.1197464987
373	0.1196557392
374	0.1195868287
375	0.119521301
376	0.1194295066
377	0.1193798835
378	0.1192981429
379	0.1192358224
380	0.1191881082
381	0.1191163294
382	0.119056259
383	0.1189813664
384	0.1189007528
385	0.1188389423
386	0.1187724279
387	0.1186933656
388	0.1186089776
389	0.1185503504
390	0.1184892477
391	0.1184452518
392	0.1183745249
393	0.1183000876
394	0.1182152635
395	0.1181240502
396	0.1180657245
397	0.117980149
398	0.1179021342
399	0.1178467471
400	0.1177652864
401	0.1176992532
402	0.1176276292
403	0.1175647005
404	0.1175012539
405	0.1174256067
406	0.1173922114
407	0.1173301316
408	0.1172753135
409	0.1172212132
410	0.117171267
411	0.1170891946
412	0.1170163207
413	0.1169417388
414	0.116849095
415	0.116792371
416	0.1167395043
417	0.1166854807
418	0.1166139864
419	0.1165429214
420	0.1164795441
421	0.1164085905
422	0.116342679
423	0.1162816652
424	0.1162264903
425	0.1161588577
426	0.1161077091
427	0.1160478642
428	0.1159768101
429	0.1159032113
430	0.115855762
431	0.1157924642
432	0.1157214736
433	0.1156710387
434	0.1156069373
435	0.1155455402
436	0.1154859379
437	0.1154439453
438	0.115394206
439	0.1153422506
440	0.1152890634
441	0.1152273374
442	0.1151813236
443	0.115140193
444	0.1151034101
445	0.1150521427
446	0.1149756937
447	0.1149311884
448	0.1148698842
449	0.1148130343
450	0.1147623707
451	0.1147219787
452	0.1146700497
453	0.1146195039
454	0.1145746119
455	0.1144972745
456	0.1144186672
457	0.114345652
458	0.1142988579
459	0.1142587794
460	0.1142097593
461	0.1141701584
462	0.1140839992
463	0.1140161667
464	0.1139216642
465	0.1138757006
466	0.1138277395
467	0.1137822798
468	0.113721133
469	0.1136771065
470	0.1136100748
471	0.1135649926
472	0.1135129781
473	0.1134746543
474	0.1134267692
475	0.1133612628
476	0.1132727665
477	0.1132312725
478	0.1131644847
479	0.1131290455
480	0.1130716612
481	0.1130076486
482	0.1129260359
483	0.1128512985
484	0.1127963534
485	0.1127564138
486	0.1126901968
487	0.1126376889
488	0.1125872206
489	0.1125430824
490	0.1125029054
491	0.1124633729
492	0.1124226822
493	0.1123863022
494	0.1123400113
495	0.1122740873
496	0.1122235347
497	0.112171897
498	0.1121276007
499	0.1120832286
500	0.1120368283
501	0.1119999578
502	0.1119538724
503	0.1119015806
504	0.1118581894
505	0.1118197914
506	0.1117658615
507	0.1116806396
508	0.1116043351
509	0.1115499503
510	0.1115129241
511	0.1114498621
512	0.1114114724
513	0.1113606879
514	0.1113230876
515	0.1112837539
516	0.1112309658
517	0.1111794323
518	0.1111297634
519	0.1110890218
520	0.1110526961
521	0.1110095819
522	0.1109429956
523	0.110912801
524	0.1108673919
525	0.1108055408
526	0.1107655095
527	0.1106850929
528	0.1106504401
529	0.1105860928
530	0.1105293244
531	0.1104830442
532	0.1104379899
533	0.1104057939
534	0.1103427545
535	0.1102836248
536	0.1102330951
537	0.1101883044
538	0.110151504
539	0.1101133562
540	0.1100583639
541	0.1100295913
542	0.1099853538
543	0.1099483507
544	0.1098654259
545	0.109834854
546	0.1097844418
547	0.1097366643
548	0.1096848828
549	0.1096522819
550	0.1096062912
551	0.1095532088
552	0.1094909239
553	0.1094485378
554	0.1094072948
555	0.1093780907
556	0.1092988555
557	0.109249368
558	0.1092012695
559	0.1091739761
560	0.1091103772
561	0.1090507314
562	0.1090159343
563	0.1089705454
564	0.108917458
565	0.1088731934
566	0.1088300328
567	0.108802036
568	0.1087620577
569	0.1087130129
570	0.1086591887
571	0.1086232456
572	0.108579538
573	0.1085519135
574	0.1085140119
575	0.1084682599
576	0.1084104154
577	0.1083587058
578	0.1083107701
579	0.1082686831
580	0.1082131423
581	0.1081861914
582	0.1081447081
583	0.1080926027
584	0.1080393913
585	0.1079837051
586	0.1079357677
587	0.1078864682
588	0.1078627443
589	0.1078190968
590	0.1077718892
591	0.1077227568
592	0.1076875526
593	0.1076551288
594	0.1076103063
595	0.1075810774
596	0.1075453693
597	0.1075086237
598	0.1074736196
599	0.1074204382
600	0.1073805252
601	0.1073414588
602	0.10729687
603	0.1072529756
604	0.1072107829
605	0.1071813012
606	0.1071323573
607	0.1070819184
608	0.1070383457
609	0.1069972707
610	0.1069640723
611	0.106925874
612	0.1068972066
613	0.1068698739
614	0.1068222468
615	0.1067752037
616	0.1067409921
617	0.1067168858
618	0.106631259
619	0.1065938145
620	0.1065707764
621	0.1065319696
622	0.1064922134
623	0.1064520805
624	0.1063853108
625	0.1063562971
626	0.1063272419
627	0.1062839678
628	0.1062510097
629	0.1062089994
630	0.1061706244
631	0.1061470587
632	0.1061165106
633	0.1060798568
634	0.1060362525
635	0.1059987265
636	0.1059658251
637	0.1059324826
638	0.1059036134
639	0.1058572429
640	0.105832532
641	0.1057860687
642	0.1057509093
643	0.1057185532
644	0.1056817951
645	0.105619562
646	0.1055845437
647	0.1055415043
648	0.1055210623
649	0.1054631302
650	0.1054331036
651	0.1054066342
652	0.1053397027
653	0.1053071359
654	0.1052711576
655	0.1052237365
656	0.1052017451
657	0.1051563786
658	0.1051204108
659	0.1050794549
660	0.1050429134
661	0.105006297
662	0.1049662567
663	0.1049237829
664	0.1048936414
665	0.1048735876
666	0.1048407628
667	0.1048116439
668	0.1047885816
669	0.1047332387
670	0.1047091401
671	0.104669745
672	0.1046360462
673	0.1046069892
674	0.1045825328
675	0.1045534723
676	0.104530563
677	0.1044838781
678	0.1044590977
679	0.1044219019
680	0.1043934555
681	0.1043577474
682	0.1043248626
683	0.1042929792
684	0.1042718149
685	0.1042313787
686	0.1041862383
687	0.104155246
688	0.1041186135
689	0.1040657626
690	0.1040252975
691	0.1039725246
692	0.1039513749
693	0.1039243741
694	0.1038922537
695	0.1038711961
696	0.1038171971
697	0.1037888305
698	0.1037554626
699	0.1037295366
700	0.1037020665
701	0.1036636383
702	0.1036284624
703	0.1036044387
704	0.1035764432
705	0.1035337256
706	0.1035106134
707	0.1034828446
708	0.1034643737
709	0.1034275538
710	0.103383777
711	0.1033482707
712	0.1033316575
713	0.1032931087
714	0.1032513706
715	0.1032257028
716	0.1032012522
717	0.1031669013
718	0.1031400284
719	0.103106784
720	0.103082587
721	0.1030488351
722	0.1030083734
723	0.1029653223
724	0.1029303801
725	0.1028951897
726	0.1028533708
727	0.1028246057
728	0.102786259
729	0.1027482153
730	0.1027269001
731	0.1026964429
732	0.102664689
733	0.1026304588
734	0.1025964079
735	0.1025487096
736	0.1025049854
737	0.1024725127
738	0.1024499076
739	0.1024134929
740	0.1023797578
741	0.102356414
742	0.1023333778
743	0.1023026759
744	0.1022824734
745	0.1022597741
746	0.1022365131
747	0.1021972961
748	0.1021629731
749	0.1021360277
750	0.1020996694
751	0.1020830969
752	0.102059482
753	0.1020385284
754	0.102008162
755	0.1019715372
756	0.1019151881
757	0.1018883982
758	0.101853686
759	0.1018217159
760	0.1017876682
761	0.1017626507
762	0.1017438733
763	0.1017120202
764	0.1016911115
765	0.1016677729
766	0.1016359309
767	0.101610246
768	0.1015736761
769	0.1015277512
770	0.1015077448
771	0.1014723708
772	0.1014377909
773	0.1014126052
774	0.1013733326
775	0.1013421176
776	0.1013123442
777	0.1012748473
778	0.1012538132
779	0.101230772
780	0.1012049373
781	0.1011743208
782	0.101143736
783	0.1011231261
784	0.1010844975
785	0.1010476435
786	0.1010231411
787	0.1010030172
788	0.10097295
789	0.1009497331
790	0.1009325548
791	0.1009036241
792	0.1008676208
793	0.1008263838
794	0.1007965639
795	0.1007592281
796	0.1007262985
797	0.1006978501
798	0.1006514902
799	0.1006231031
800	0.1005999469
801	0.100573962
802	0.1005565132
803	0.1005415496
804	0.1005031398
805	0.1004847171
806	0.1004652996
807	0.100428974
808	0.100383358
809	0.1003594495
810	0.1003275054
811	0.1003061604
812	0.1002799043
813	0.1002459066
814	0.1002223379
815	0.1002048751
816	0.1001598614
817	0.1001260006
818	0.1000975355
819	0.1000704546
820	0.100040759
821	0.1000212553
822	0.09999429596
823	0.09997652657
824	0.09994810201
825	0.09992046438
826	0.09988356076
827	0.09986182997
828	0.09984134135
829	0.09981470165
830	0.09979520729
831	0.09976203673
832	0.09973454369
833	0.09971406757
834	0.0996820862
835	0.09966352951
836	0.09964533228
837	0.09961902101
838	0.09959237839
839	0.09956484445
840	0.09952329398
841	0.09950269991
842	0.09947422339
843	0.09945116628
844	0.09942350678
845	0.09940357489
846	0.09937783194
847	0.09934634801
848	0.09931591361
849	0.09928881051
850	0.09925650996
851	0.09921712478
852	0.09918744862
853	0.09917155216
854	0.09915573385
855	0.09913656437
856	0.09909707469
857	0.09907322074
858	0.09905442431
859	0.09902952446
860	0.0989964836
861	0.09896011602
862	0.09893047363
863	0.09890279139
864	0.09888256569
865	0.09885580854
866	0.09882501611
867	0.09879814137
868	0.0987606263
869	0.09873394418
870	0.09871422437
871	0.09869145222
